dataset,score,control,metric,mean,lower,upper,subjects
mhealth,LAC,matched_b8,saving,-0.0050638357534619205,-0.005525265291713608,-0.004634596256054567,10
mhealth,LAC,matched_b8,coverage,-0.011027131242803656,-0.016791232384391525,-0.006370017042439311,10
mhealth,LAC,matched_b8,shortfall,0.009367289986959978,0.005149431216627629,0.014727953142469379,10
mhealth,LAC,matched_b8,size_fraction,-0.005999287358183408,-0.008593982858094033,-0.003574184182525604,10
pamap2,APS,full_reference,saving,0.4161509256310554,0.40179047174759996,0.4313489007011459,8
pamap2,APS,full_reference,coverage,-0.0027856505666952053,-0.0048225101342462455,-0.0005823351521748732,8
pamap2,APS,full_reference,shortfall,0.0054752699229282465,0.0041001710400434144,0.006929923041903583,8
pamap2,APS,full_reference,size_fraction,0.009597350807270776,0.005241425511555879,0.014275962119989237,8
pamap2,APS,deterministic,saving,0.2594353974893643,0.24357846154856444,0.27694504735074565,8
pamap2,APS,deterministic,coverage,-0.002780554428736773,-0.004172392266485895,-0.001360309254965636,8
pamap2,APS,deterministic,shortfall,0.004438547903394872,0.003483254402368103,0.00556188204674549,8
pamap2,APS,deterministic,size_fraction,0.005263583581585553,0.002512202191842415,0.008332205965140773,8
pamap2,APS,two_plan,saving,0.10286763153005132,0.09780442092870173,0.10811894245794385,8
pamap2,APS,two_plan,coverage,-0.00041170451083476223,-0.001323401625529094,0.0005208869469757044,8
pamap2,APS,two_plan,shortfall,0.001120588715843294,0.0003120147247479936,0.0019550659153292774,8
pamap2,APS,two_plan,size_fraction,0.002530859375773159,0.0009441480982169253,0.004102821629065832,8
pamap2,APS,restricted_b4,saving,0.06536979826195413,0.0534670163584911,0.07727258016541716,8
pamap2,APS,restricted_b4,coverage,-0.0006880736909613272,-0.0027096720062089463,0.0012254487221255632,8
pamap2,APS,restricted_b4,shortfall,0.001231543637925778,-0.00027050861006268573,0.0028047240691855425,8
pamap2,APS,restricted_b4,size_fraction,0.0012505285565906007,-0.0017161654909822882,0.004248542329571256,8
pamap2,APS,restricted_b8,saving,0.24230680079669722,0.2273715475428816,0.25781469047487593,8
pamap2,APS,restricted_b8,coverage,-0.010438322426421384,-0.011948119190212984,-0.00886904699319395,8
pamap2,APS,restricted_b8,shortfall,0.010056119035504213,0.008678046249117983,0.011462003103168037,8
pamap2,APS,restricted_b8,size_fraction,-0.005910672679768823,-0.0087360828799967,-0.0030153194501683148,8
pamap2,APS,fixed_50,saving,-0.058628143570397036,-0.07318064046819275,-0.042553769371803433,8
pamap2,APS,fixed_50,coverage,0.003544613251880019,0.001908764699085792,0.004969504201625898,8
pamap2,APS,fixed_50,shortfall,-0.00352902989305113,-0.004564748585580447,-0.002263208473299763,8
