dataset,model,score,policy,tolerance,coverage,set_size,shortfall,delta_coverage,delta_size,delta_shortfall,queried,saving
realdisp,IT,APS,fixed_25,0.5,0.9014445795776178,12.841178790833583,0.03068913472614211,0.00223021911404338,0.3760879562352893,0.0006740445432000845,97.5,0.7500000000000004
realdisp,IT,APS,fixed_50,0.5,0.9005767259858571,12.6143462062604,0.02986774496542075,0.001362365522282658,0.14925537166210598,-0.00014734521752127696,195.0,0.5000000000000002
realdisp,IT,APS,fixed_75,0.5,0.8996622698533007,12.515955490246608,0.029981005283678575,0.00044790938972630345,0.050864655648313946,-3.408489926345129e-05,292.5,0.2500000000000001
realdisp,IT,APS,full_reference,0.5,0.8992143604635744,12.465090834598294,0.030015090182942024,0.0,0.0,0.0,390.0,0.0
realdisp,IT,APS,horizon,0.1,0.8992532531857609,12.4682213652874,0.02999085459408439,3.889272218643233e-05,0.0031305306891059224,-2.4235588857636352e-05,389.10499999999996,0.001934027777777756
realdisp,IT,APS,horizon,0.25,0.8994456470370996,12.478426657876945,0.02988461523761256,0.00023128657352523832,0.013335823278650143,-0.00013047494532945732,387.17,0.005506944444444409
realdisp,IT,APS,horizon,0.5,0.900615066223015,12.539563477505437,0.029265977537694103,0.0014007057594406036,0.07447264290714423,-0.0007491126452479079,379.18,0.019649305555555514
realdisp,IT,APS,horizon,1.0,0.9045033198365339,12.73482056280609,0.02707039742577996,0.00528895937295941,0.26972972820779806,-0.0029446927571620415,351.835,0.07113888888888885
realdisp,IT,APS,hypergeom,0.1,0.8992323560298792,12.466254807091696,0.030005968561320404,1.7995566304744e-05,0.0011639724934005323,-9.121621621621332e-06,389.97,9.7222222222219e-05
realdisp,IT,APS,hypergeom,0.25,0.8993189863690211,12.470924367827582,0.029957639174712742,0.00010462590544667,0.005833533229287028,-5.7451008229278874e-05,389.15999999999997,0.001555555555555532
realdisp,IT,APS,hypergeom,0.5,0.9003327588609787,12.521738441982954,0.02940033379340844,0.001118398397404331,0.056647607384659834,-0.0006147563895335692,384.45,0.009704861111111076
realdisp,IT,APS,hypergeom,1.0,0.9043161426679426,12.725838148580932,0.0271636025938459,0.005101782204368101,0.2607473139826394,-0.0028514875890961,365.125,0.04627430555555552
