dataset,score,policy,tolerance,bracket_failure,containment_failure,inflation_exceeded,actual_inflation,saving
mhealth,LAC,full_reference,0.5,0.0,0.0,0.0,0.0,0.0
mhealth,LAC,horizon,0.1,0.028125,0.017708333333333333,0.005208333333333333,0.020666200714764348,0.09593749999999998
mhealth,LAC,horizon,0.25,0.02854166666666667,0.016458333333333335,0.003125,0.08819668681329541,0.2780034722222222
mhealth,LAC,horizon,0.5,0.022083333333333333,0.011041666666666667,0.0027083333333333334,0.20615358703784328,0.4516840277777778
mhealth,LAC,horizon,1.0,0.018333333333333333,0.008541666666666668,0.0020833333333333333,0.440224281385121,0.6039583333333333
mhealth,LAC,hypergeom,0.1,0.005833333333333334,0.002916666666666667,0.0006250000000000001,0.02033981668707161,0.06670138888888887
mhealth,LAC,hypergeom,0.25,0.004166666666666667,0.0018750000000000001,0.00020833333333333335,0.09107345709530142,0.21963541666666667
mhealth,LAC,hypergeom,0.5,0.0037500000000000003,0.0012500000000000002,0.0004166666666666667,0.21473229281885184,0.3825347222222222
mhealth,LAC,hypergeom,1.0,0.0033333333333333335,0.0010416666666666667,0.0004166666666666667,0.4607780505605088,0.5323784722222222
mhealth,LAC,martingale,0.1,0.0012500000000000002,0.0004166666666666667,0.0006250000000000001,0.017671098208595738,0.03873263888888888
mhealth,LAC,martingale,0.25,0.0008333333333333334,0.0,0.0004166666666666667,0.08509400213186556,0.1596006944444444
mhealth,LAC,martingale,0.5,0.0008333333333333334,0.0,0.0004166666666666667,0.2129423813615115,0.30916666666666665
mhealth,LAC,martingale,1.0,0.0008333333333333334,0.0,0.0004166666666666667,0.4769547229204577,0.4656597222222222
mhealth,LAC,midpoint,0.5,0.5583333333333333,0.5472916666666666,0.00020833333333333335,-0.027124131438808693,0.4516840277777778
mhealth,LAC,no_intersection,0.5,0.007916666666666667,0.007083333333333334,0.00020833333333333335,0.20409897295107657,0.44060763888888893
mhealth,LAC,one_look_50,0.5,0.026458333333333337,0.016874999999999998,0.26916666666666667,0.52230711911838,0.5
mhealth,LAC,sparse_checks,0.5,0.022916666666666665,0.011041666666666667,0.0018750000000000001,0.14746859181419866,0.42078125
mhealth,LAC,uncorrected,0.5,0.07895833333333332,0.025833333333333333,0.019583333333333335,0.20339609409462692,0.5317881944444445
pamap2,APS,fixed_25,0.5,0.9507291666666667,0.42302083333333335,0.24083333333333332,0.0988022365074669,0.75
pamap2,APS,fixed_50,0.5,0.9163541666666667,0.41375,0.125,0.03255492967281778,0.5
pamap2,APS,fixed_75,0.5,0.8523958333333332,0.39125000000000004,0.052395833333333336,0.014719425585964601,0.25
pamap2,APS,full_reference,0.5,0.0,0.0,0.0,0.0,0.0
pamap2,APS,horizon,0.1,0.016874999999999998,0.010520833333333335,0.005208333333333333,0.0015328597697226549,0.010538194444444442
pamap2,APS,horizon,0.25,0.027812500000000004,0.016354166666666666,0.008437499999999999,0.02580334764081439,0.035017361111111096
