dataset,score,baseline,metric,difference,ci_low,ci_high,subjects
wisdm,LAC,full_reference,queried,-43.85294117647059,-44.99429125816994,-42.64989787581701,51
wisdm,LAC,full_reference,saving,0.06585648148148143,0.0638183700129357,0.0677922028186274,51
wisdm,LAC,fixed_25,coverage,0.002518549270356667,0.0018400357515050434,0.003201406901409032,51
wisdm,LAC,fixed_25,set_size,-0.04479624924018653,-0.05811972163316385,-0.03154980302563482,51
wisdm,LAC,fixed_25,shortfall,-0.0032237759123655806,-0.003862525931789346,-0.0026011900714252288,51
wisdm,LAC,fixed_25,delta_coverage,0.0025185492703566313,0.0018400357515050024,0.0032014069014089856,51
wisdm,LAC,fixed_25,delta_size,-0.04479624924018672,-0.05811972163316436,-0.031549803025634794,51
wisdm,LAC,fixed_25,delta_shortfall,-0.0032237759123655515,-0.003862525931789318,-0.0026011900714252014,51
wisdm,LAC,fixed_25,queried,293.64705882352945,292.50570874183006,294.8501021241829,51
wisdm,LAC,fixed_25,saving,-0.6841435185185188,-0.6861816299870649,-0.6822077971813729,51
wisdm,LAC,fixed_50,coverage,0.0035845625905557943,0.0032067976384039664,0.003985717169768887,51
wisdm,LAC,fixed_50,set_size,0.06817862897838782,0.06127943247514275,0.07511074190920135,51
wisdm,LAC,fixed_50,shortfall,-0.0026324129579867444,-0.003126294856671758,-0.0021457441002166676,51
wisdm,LAC,fixed_50,delta_coverage,0.003584562590555752,0.003206797638403928,0.00398571716976882,51
wisdm,LAC,fixed_50,delta_size,0.06817862897838779,0.061279432475143045,0.07511074190920139,51
wisdm,LAC,fixed_50,delta_shortfall,-0.002632412957986718,-0.0031262948566717253,-0.0021457441002166434,51
wisdm,LAC,fixed_50,queried,181.14705882352945,180.00570874183006,182.35010212418297,51
wisdm,LAC,fixed_50,saving,-0.4341435185185188,-0.43618162998706456,-0.43220779718137287,51
wisdm,LAC,fixed_75,coverage,0.0038429986641330465,0.0034271296348872696,0.004254956273190684,51
wisdm,LAC,fixed_75,set_size,0.10332168931891428,0.09773107002127744,0.10909158823187323,51
wisdm,LAC,fixed_75,shortfall,-0.0024044593930301976,-0.0029352668656122726,-0.0018794438548360953,51
wisdm,LAC,fixed_75,delta_coverage,0.003842998664132997,0.003427129634887217,0.0042549562731906306,51
wisdm,LAC,fixed_75,delta_size,0.10332168931891422,0.09773107002127758,0.10909158823187325,51
wisdm,LAC,fixed_75,delta_shortfall,-0.0024044593930301734,-0.0029352668656122444,-0.0018794438548360725,51
wisdm,LAC,fixed_75,queried,68.64705882352942,67.50570874183006,69.850102124183,51
wisdm,LAC,fixed_75,saving,-0.18414351851851868,-0.18618162998706445,-0.18220779718137273,51
wisdm,LAC,one_look_50,coverage,-0.02948908279899433,-0.032759041892217,-0.026180399151764563,51
wisdm,LAC,one_look_50,set_size,-1.2043377995896645,-1.2423025897905162,-1.1657080612617519,51
wisdm,LAC,one_look_50,shortfall,0.013620933010496706,0.010069898654350448,0.017330935215258376,51
